"","DTTM","Site","pH","Temp","Sal","DO","TempCTD","Time","Date"
"1",2016-08-25 04:15:00,"Inner Lagoon",7.91142,27.566,32.748,147.17665071875,27.59606,"04:15",2016-08-25
"2",2016-08-25 04:30:00,"Inner Lagoon",7.88782,27.504,32.6558,133.06917621875,27.59398,"04:30",2016-08-25
"3",2016-08-25 04:45:00,"Inner Lagoon",7.8878,27.48,32.64525,130.89085884375,27.59416,"04:45",2016-08-25
"4",2016-08-25 05:00:00,"Inner Lagoon",7.90114,27.446,32.6314,134.42459715625,27.59256,"05:00",2016-08-25
"5",2016-08-25 05:15:00,"Inner Lagoon",7.90814,27.4,32.6146,137.68081859375,27.27222,"05:15",2016-08-25
"6",2016-08-25 05:30:00,"Inner Lagoon",7.90506,27.44,32.6418,137.1111245625,27.27094,"05:30",2016-08-25
"7",2016-08-25 05:45:00,"Inner Lagoon",7.90504,27.384,32.6116,135.73369084375,27.24836,"05:45",2016-08-25
"8",2016-08-25 06:00:00,"Inner Lagoon",7.91062,27.382,32.6088,137.18625809375,27.58552,"06:00",2016-08-25
"9",2016-08-25 06:15:00,"Inner Lagoon",7.90878,27.39,32.639,137.03663109375,27.16534,"06:15",2016-08-25
"10",2016-08-25 06:30:00,"Inner Lagoon",7.91536,27.37,32.6228,139.28416421875,27.12688,"06:30",2016-08-25
"11",2016-08-25 06:45:00,"Inner Lagoon",7.96284,27.752,33.8434,148.43830846875,27.15398,"06:45",2016-08-25
"12",2016-08-25 07:00:00,"Inner Lagoon",7.9665,27.712,33.336,155.91903053125,27.5755,"07:00",2016-08-25
"13",2016-08-25 07:15:00,"Inner Lagoon",7.95904,27.75,33.6994,154.7734399375,27.22728,"07:15",2016-08-25
"14",2016-08-25 07:30:00,"Inner Lagoon",7.9487,27.62,33.214,151.25054990625,27.58282,"07:30",2016-08-25
"15",2016-08-25 07:45:00,"Inner Lagoon",7.96046,27.626,33.066,157.68963071875,27.23436,"07:45",2016-08-25
"16",2016-08-25 08:00:00,"Inner Lagoon",7.94648,27.726,33.7108,151.75617678125,27.5775,"08:00",2016-08-25
"17",2016-08-25 08:15:00,"Inner Lagoon",7.96556,27.67,33.1966,159.21405246875,27.58182,"08:15",2016-08-25
"18",2016-08-25 08:30:00,"Inner Lagoon",7.96186,27.598,32.9796,163.34472028125,27.57842,"08:30",2016-08-25
"19",2016-08-25 08:45:00,"Inner Lagoon",7.96028,27.62,33.0388,161.955183,27.52394,"08:45",2016-08-25
"20",2016-08-25 09:00:00,"Inner Lagoon",7.9485,27.5925,32.9435,159.520513375,27.2587,"09:00",2016-08-25
"21",2016-08-25 09:15:00,"Inner Lagoon",7.96854,27.65,33.1016,163.6891890625,27.24534,"09:15",2016-08-25
"22",2016-08-25 09:30:00,"Inner Lagoon",7.94728,27.644,32.964,161.2211065,27.55698,"09:30",2016-08-25
"23",2016-08-25 09:45:00,"Inner Lagoon",7.94218,27.65,32.8646,160.02680346875,27.4607,"09:45",2016-08-25
"24",2016-08-25 10:00:00,"Inner Lagoon",7.94714,27.702,33.0906,161.044187875,27.25766,"10:00",2016-08-25
"25",2016-08-25 10:15:00,"Inner Lagoon",7.96586,27.758,33.712,161.91327021875,27.2623,"10:15",2016-08-25
"26",2016-08-25 10:30:00,"Inner Lagoon",7.97288,27.74,33.4786,166.6372764375,27.47406,"10:30",2016-08-25
