FragID,Parent,Origin,Transplant,Species,Rack,Timepoint,AFDW,SA,BM,BWg.d,BWx,BWx.d,BWg.dSA,BWg.dAFDW,BWx.dSA,BWx.dAFDW,LE,NP,R,GP,GPSA,GPAFDW,NPSA,NPAFDW,RSA,RAFDW,P_RSA,P_RAFDW,F0,FM,Yield,PercentLipids,TotalLipids,PropLipids,Final.prey.SA,Extension,Angle,Simpson
201,169,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,509,1470,653,,,,,,,
212,169,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,427,1155,630,,,,,,,
213,169,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,363,1130,678,,,,,,,
214,169,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,265,742,642,,,,,,,
215,169,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,261,873,701,,,,,,,
221,169,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,379,1123,662,,,,,,,
224,169,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,565,1476,617,,,,,,,
229,169,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,398,1212,671,,,,,,,
230,169,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,545,1430,618,,,,,,,
233,169,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,550,1430,615,,,,,,,
243,169,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,364,1052,653,,,,,,,
257,169,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,496,1393,643,,,,,,,
261,169,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,330,931,645,,,,,,,
263,169,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,654,1684,611,,,,,,,
264,169,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,405,1052,615,,,,,,,
268,169,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,418,1066,607,,,,,,,
273,169,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,486,1246,609,,,,,,,
276,169,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,367,1110,669,,,,,,,
278,169,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,485,1260,615,,,,,,,
279,169,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,527,1349,609,,,,,,,
282,125,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,297,870,658,,,,,,,
291,125,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,522,1469,644,,,,,,,
294,125,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,329,1010,674,,,,,,,
299,125,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,346,1042,667,,,,,,,
300,125,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,369,1043,646,,,,,,,
301,125,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,385,1133,660,,,,,,,
302,125,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,313,1129,722,,,,,,,
320,125,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,347,943,632,,,,,,,
321,125,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,368,1110,668,,,,,,,
322,125,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,381,1191,680,,,,,,,
324,125,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,507,1442,648,,,,,,,
326,125,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,350,1066,671,,,,,,,
328,125,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,351,1116,685,,,,,,,
330,125,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,423,1219,652,,,,,,,
336,125,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,356,838,575,,,,,,,
339,125,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,436,1229,645,,,,,,,
345,125,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,424,1279,668,,,,,,,
346,125,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,241,710,660,,,,,,,
350,125,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,452,1246,637,,,,,,,
362,167,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,367,961,618,,,,,,,
368,167,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,339,1035,672,,,,,,,
369,167,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,453,1324,657,,,,,,,
379,167,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,443,1241,643,,,,,,,
380,167,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,335,975,656,,,,,,,
382,167,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,520,1383,624,,,,,,,
385,167,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,474,1396,660,,,,,,,
386,167,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,380,1110,657,,,,,,,
390,167,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,416,1198,652,,,,,,,
394,167,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,404,939,569,,,,,,,
400,167,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,362,1035,650,,,,,,,
403,167,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,319,904,647,,,,,,,
415,167,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,362,1020,645,,,,,,,
419,167,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,406,1190,658,,,,,,,
421,167,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,332,987,663,,,,,,,
424,167,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,436,1297,663,,,,,,,
425,167,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,386,1198,677,,,,,,,
431,167,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,413,1086,619,,,,,,,
437,167,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,426,1218,650,,,,,,,
439,167,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,363,1045,652,,,,,,,
442,121,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,305,920,668,,,,,,,
443,121,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,260,692,624,,,,,,,
446,121,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,255,649,607,,,,,,,
449,121,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,421,1168,639,,,,,,,
459,121,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,330,1009,672,,,,,,,
465,121,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,337,1045,677,,,,,,,
467,121,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,311,923,663,,,,,,,
469,121,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,420,1141,631,,,,,,,
471,121,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,446,1306,658,,,,,,,
479,121,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,264,636,584,,,,,,,
483,121,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,392,953,588,,,,,,,
485,121,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,430,1275,662,,,,,,,
486,121,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,360,949,620,,,,,,,
495,121,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,307,872,647,,,,,,,
499,121,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,402,1100,634,,,,,,,
500,121,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,352,1130,688,,,,,,,
502,121,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,396,969,591,,,,,,,
509,121,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,379,1166,674,,,,,,,
510,121,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,263,683,614,,,,,,,
520,121,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,329,1025,679,,,,,,,
521,52,Outer Bay,Outer Bay,MCAP,PHY5 ,1.5,,,,,,,,,,,,,,,,,,,,,,,365,1020,642,,,,,,,
524,52,Outer Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,429,1160,630,,,,,,,
525,52,Outer Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,455,1355,664,,,,,,,
526,52,Outer Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,557,1322,578,,,,,,,
529,52,Outer Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,601,1477,593,,,,,,,
536,52,Outer Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,409,1190,656,,,,,,,
540,52,Outer Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,443,1203,631,,,,,,,
542,52,Outer Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,313,930,663,,,,,,,
558,52,Outer Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,269,784,656,,,,,,,
561,52,Outer Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,290,837,653,,,,,,,
565,52,Outer Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,516,1403,632,,,,,,,
566,52,Outer Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,552,1494,630,,,,,,,
573,52,Outer Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,411,1160,645,,,,,,,
575,52,Outer Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,307,907,661,,,,,,,
576,52,Outer Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,299,936,680,,,,,,,
577,52,Outer Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,332,951,650,,,,,,,
585,52,Outer Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,604,1531,605,,,,,,,
588,52,Outer Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,365,935,609,,,,,,,
591,52,Outer Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,255,732,651,,,,,,,
600,52,Outer Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,628,1734,637,,,,,,,
600,52,Outer Bay,Inner Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,628,1734,637,,,,,,,
606,162,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,381,904,578,,,,,,,
609,162,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,287,926,690,,,,,,,
610,162,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,254,771,670,,,,,,,
612,162,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,386,1118,654,,,,,,,
620,162,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,378,1013,626,,,,,,,
623,162,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,366,1017,640,,,,,,,
629,162,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,428,1146,626,,,,,,,
638,162,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,314,886,645,,,,,,,
645,162,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,391,1121,651,,,,,,,
648,162,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,409,1270,677,,,,,,,
649,162,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,467,1163,598,,,,,,,
650,162,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,404,1073,623,,,,,,,
653,162,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,349,986,646,,,,,,,
662,162,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,316,919,656,,,,,,,
663,162,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,308,843,634,,,,,,,
668,162,Inner Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,286,840,659,,,,,,,
669,162,Inner Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,358,1005,643,,,,,,,
672,162,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,387,1092,645,,,,,,,
678,162,Inner Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,535,1281,582,,,,,,,
680,162,Inner Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,252,758,667,,,,,,,
683,208,Outer Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,236,681,653,,,,,,,
685,208,Outer Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,422,1217,653,,,,,,,
688,208,Outer Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,299,1046,714,,,,,,,
689,208,Outer Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,406,1081,624,,,,,,,
690,208,Outer Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,332,911,635,,,,,,,
700,208,Outer Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,493,1342,632,,,,,,,
704,208,Outer Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,350,1157,697,,,,,,,
713,208,Outer Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,409,1206,660,,,,,,,
717,208,Outer Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,406,1155,648,,,,,,,
719,208,Outer Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,448,1190,623,,,,,,,
726,208,Outer Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,366,978,625,,,,,,,
728,208,Outer Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,327,1056,690,,,,,,,
731,208,Outer Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,233,807,711,,,,,,,
732,208,Outer Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,420,1201,650,,,,,,,
734,208,Outer Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,453,1333,660,,,,,,,
737,208,Outer Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,386,1009,617,,,,,,,
740,208,Outer Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,254,733,653,,,,,,,
743,208,Outer Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,482,1156,583,,,,,,,
746,208,Outer Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,449,1297,653,,,,,,,
758,208,Outer Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,376,1076,650,,,,,,,
760,208,Outer Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,341,818,583,,,,,,,
763,21,Outer Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,354,1006,648,,,,,,,
767,21,Outer Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,322,966,666,,,,,,,
770,21,Outer Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,368,1080,659,,,,,,,
771,21,Outer Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,359,984,635,,,,,,,
773,21,Outer Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,270,727,628,,,,,,,
787,21,Outer Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,351,1001,649,,,,,,,
796,21,Outer Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,366,1107,669,,,,,,,
801,21,Outer Bay,Outer Bay,MCAP,PHY6,1.5,,,,,,,,,,,,,,,,,,,,,,,397,1266,686,,,,,,,
806,21,Outer Bay,Outer Bay,MCAP,PHY5,1.5,,,,,,,,,,,,,,,,,,,,,,,421,1075,608,,,,,,,
810,21,Outer Bay,Inner Bay,MCAP,PHY1,1.5,,,,,,,,,,,,,,,,,,,,,,,334,938,643,,,,,,,
811,21,Outer Bay,Inner Bay,MCAP,PHY2,1.5,,,,,,,,,,,,,,,,,,,,,,,358,1012,646,,,,,,,
