Parent,Transplant,Origin,Timepoint,Species,AFDW,SA,BM,BWx.d,LE,NP,R,GP,GPSA,NPSA,RSA,P_RSA,F0,FM,Yield,PropLipids,Final.prey.SA,Extension,Angle,Simpson,PropSpawn,FitScore,Survival,FitScoreNoRepro
21,Inner Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344.1,988.5,650.9,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
21,Outer Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375.2,1077.5,649.1,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
22,Inner Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308.2,898.2,655.5,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
22,Outer Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.3,998.1,628.1,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
23,Inner Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403.1818182,1155.090909,651.5454545,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
23,Outer Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458.5,1289.9,643.2,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
24,Inner Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.4,984.2,656.4,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
24,Outer Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.1,1162.1,647.3,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
47,Inner Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543.1,1363.6,602.8,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
47,Outer Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502.875,1210.75,574.25,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
48,Inner Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417.8,1082.1,609.5,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
48,Outer Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.2,1365.8,624.7,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
49,Inner Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520,1345,611.3,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
49,Outer Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444.8,1187.6,612.6,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
50,Inner Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439.6,1161.7,600.9,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!
