Month,Date,Night,ColonyID,SiteOrigin,SiteTransplant,Live,Live_Dead,Spawn,BeginSpawn,EndSpawn,Tot.Repro.Vol.mL,Status,Notes
May,24-May-17,-1,121A,4,4,LIVE,1,0,NA,NA,NA,1,
May,25-May-17,0,121A,4,4,LIVE,1,1,20:53,21:29,3,2,
May,26-May-17,1,121A,4,4,LIVE,1,0,NA,NA,NA,1,
May,27-May-17,2,121A,4,4,LIVE,1,0,NA,NA,NA,1,
May,28-May-17,3,121A,4,4,LIVE,1,0,NA,NA,NA,1,
June,23-Jun-17,0,121A,4,4,LIVE,1,0,NA,NA,NA,1,
June,24-Jun-17,1,121A,4,4,LIVE,1,1,21:41,21:41,0.0002,2,
June,25-Jun-17,2,121A,4,4,LIVE,1,0,NA,NA,NA,1,
June,26-Jun-17,3,121A,4,4,LIVE,1,0,NA,NA,NA,1,
June,27-Jun-17,4,121A,4,4,LIVE,1,0,NA,NA,NA,1,
July,22-Jul-17,0,121A,4,4,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,121A,4,4,LIVE,1,0,NA,NA,NA,1,
July,24-Jul-17,2,121A,4,4,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,121A,4,4,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,121A,4,4,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,121B,4,13,LIVE,1,0,NA,NA,NA,1,
May,25-May-17,0,121B,4,13,LIVE,1,1,20:56,21:50,1,2,
May,26-May-17,1,121B,4,13,LIVE,1,1,20:56,22:10,3.5,2,
May,27-May-17,2,121B,4,13,LIVE,1,0,NA,NA,NA,1,
May,28-May-17,3,121B,4,13,LIVE,1,0,NA,NA,NA,1,
June,23-Jun-17,0,121B,4,13,LIVE,1,1,21:11,21:30,0.0036,2,
June,24-Jun-17,1,121B,4,13,LIVE,1,1,20:57,21:48,0.004,2,
June,25-Jun-17,2,121B,4,13,LIVE,1,0,NA,NA,NA,1,
June,26-Jun-17,3,121B,4,13,LIVE,1,0,NA,NA,NA,1,
June,27-Jun-17,4,121B,4,13,LIVE,1,0,NA,NA,NA,1,
July,22-Jul-17,0,121B,4,13,LIVE,1,0,NA,NA,NA,1,
July,23-Jul-17,1,121B,4,13,LIVE,1,1,21:04,21:28,0.0008,2,
July,24-Jul-17,2,121B,4,13,LIVE,1,0,NA,NA,NA,1,
July,25-Jul-17,3,121B,4,13,LIVE,1,0,NA,NA,NA,1,
July,26-Jul-17,4,121B,4,13,LIVE,1,0,NA,NA,NA,1,
May,24-May-17,-1,125A,4,4,DEAD,0,0,NA,NA,NA,0,
May,25-May-17,0,125A,4,4,DEAD,0,0,NA,NA,NA,0,
May,26-May-17,1,125A,4,4,DEAD,0,0,NA,NA,NA,0,
May,27-May-17,2,125A,4,4,DEAD,0,0,NA,NA,NA,0,
May,28-May-17,3,125A,4,4,DEAD,0,0,NA,NA,NA,0,
June,23-Jun-17,0,125A,4,4,DEAD,0,0,NA,NA,NA,0,
June,24-Jun-17,1,125A,4,4,DEAD,0,0,NA,NA,NA,0,
June,25-Jun-17,2,125A,4,4,DEAD,0,0,NA,NA,NA,0,
June,26-Jun-17,3,125A,4,4,DEAD,0,0,NA,NA,NA,0,
June,27-Jun-17,4,125A,4,4,DEAD,0,0,NA,NA,NA,0,
July,22-Jul-17,0,125A,4,4,DEAD,0,0,NA,NA,NA,0,
July,23-Jul-17,1,125A,4,4,DEAD,0,0,NA,NA,NA,0,Not enough eggs to be worthwhile…
July,24-Jul-17,2,125A,4,4,DEAD,0,0,NA,NA,NA,0,
