FragID,Species,Tank,Treatment,Parent,T0,T1,T2,T3,T4,T5,T6,Tf,Origin,Transplant,NP0,R0,NPf,Rf,SA,AFDWg,BMgcm2,AFDWmg,BMmgcm2,GP0,GPf,t0GPSA,t0NPSA,t0RSA,tfGPSA,tfNPSA,tfRSA,BWT0,BWTf,dDryWt.g.d,x.d,g.cm2.d,mg.cm2.d
1022,MCAP,3,Ambient,166,620,632,597,616,662,652,590,631,Inner Bay,Inner Bay,0.324224155,0.199253732,0.311015491,0.192279777,28.058,0.1510785,0.005384507,151.0785,5.384507092,0.523477887,0.503295268,0.018656992,0.011555498,0.007101494,0.017937674,0.011084735,0.00685294,3.333,3.406,0.014090992,0.214402949,5.02E-04,0.502209423
1031,MCAP,7,High,166,621,647,609,568,,606,553,592,Inner Bay,Outer Bay,1.306257564,0.501536645,0.583138666,0.771464369,96.049,0.06375,6.64E-04,63.75,0.663723724,1.807794209,1.354603035,0.018821583,0.013599908,0.005221675,0.01410325,0.006071262,0.008031988,12.973,13.099,0.019917626,0.077865066,2.07E-04,0.207369426
1047,MCAP,7,High,166,560,501,609,620,601,566,576,569,Inner Bay,Inner Bay,0.423922225,0.188957268,0.439697999,0.146158886,35.117,0.13581,0.003867358,135.81,3.86735769,0.612879493,0.585856885,0.017452501,0.01207171,0.005380792,0.016682999,0.012520944,0.004162055,8.472,8.536,0.00931825,0.055782139,2.65E-04,0.265348692
1080,MCAP,5,High,166,557,587,602,595,568,577,569,560,Inner Bay,Outer Bay,1.124361641,0.481834016,0.373873091,0.589298263,52.4134,0.4068,0.007761374,406.8,7.761374,1.606195657,0.963171354,0.030644752,0.021451797,0.009192955,0.018376433,0.007133159,0.011243275,12.68,12.892,0.036781071,0.147106996,7.02E-04,0.701749381
1082,MCAP,8,High,144,594,597,607,608,599,600,579,558,Outer Bay,Outer Bay,2.815853325,0.907540502,1.948783825,1.716913173,123.41356,,,,,3.723393827,3.665696998,0.030170054,0.022816401,0.007353653,0.029702546,0.015790678,0.013911868,14.82,15.327,0.09395528,0.321528682,7.61E-04,0.761304349
1134,MCAP,1,Ambient,144,591,576,615,631,628,640,659,633,Outer Bay,Inner Bay,0.734712666,0.500631094,0.732600666,0.526866342,47.301,0.566694,0.011980592,566.694,11.98059238,1.23534376,1.259467008,0.026116652,0.015532709,0.010583943,0.026626647,0.015488059,0.011138588,7.45,7.485,0.005664197,0.038557738,1.20E-04,0.119747933
1135,MCAP,2,Ambient,144,621,598,644,641,641,658,643,660,Outer Bay,Outer Bay,1.246866594,0.597903341,1.252140923,0.723969602,61.855,0.0436875,7.06E-04,43.6875,0.706288901,1.844769935,1.976110525,0.029824104,0.020157895,0.009666209,0.031947466,0.020243164,0.011704302,6.48,6.764,0.055466427,0.434087433,8.97E-04,0.896716951
1153,MCAP,5,High,144,566,598,622,608,619,616,676,589,Outer Bay,Inner Bay,0.665365993,0.354401895,0.369287317,0.328503699,45.71476,,,,,1.019767888,0.697791016,0.022307191,0.01455473,0.007752461,0.01526402,0.008078076,0.007185944,4.992,5.123,0.023695238,0.24072209,5.18E-04,0.518327954
1165,MCAP,5,High,23,604,629,632,649,594,593,613,587,Outer Bay,Outer Bay,1.918911071,0.997928132,0.102819721,0.683018584,95.239,0.424305,0.00445516,424.305,4.455160176,2.916839203,0.785838305,0.030626521,0.020148375,0.010478146,0.008251224,0.001079597,0.007171627,14.072,14.17,0.013408561,0.048323073,1.41E-04,0.140788553
1172,MCAP,1,Ambient,23,590,630,621,665,627,631,640,637,Outer Bay,Outer Bay,0.71982412,0.466182828,1.093231242,0.590916387,39.063,0.3906,0.009999232,390.6,9.99923201,1.186006948,1.684147629,0.030361389,0.018427262,0.011934128,0.043113627,0.027986362,0.015127266,5.95,6.116,0.031803354,0.271075543,8.14E-04,0.814155441
