Site,Date,Time,pH,Temp (°C),Salinity (ppt),Oxygen (mg/L)
Coco 4 ,7/20/16,12:00:55 AM,7.96282,28.444,33.8644,6.002904639
Coco 4 ,7/20/16,12:15:55 AM,7.96734,28.42,33.9102,6.019158525
Coco 4 ,7/20/16,12:30:55 AM,7.96828,28.43,33.9302,6.067836694
Coco 4 ,7/20/16,12:45:55 AM,7.96806,28.478,33.9292,6.091434922
Coco 4 ,7/20/16,1:00:54 AM,7.9704,28.548,33.9348,6.129831701
Coco 4 ,7/20/16,1:15:54 AM,7.96822,28.698,33.8282,6.180527754
Coco 4 ,7/20/16,1:30:55 AM,7.96946,28.79,33.8196,6.230304534
Coco 4 ,7/20/16,1:45:55 AM,7.9713,28.854,33.8452,6.276243267
Coco 4 ,7/20/16,2:00:55 AM,7.97162,28.878,33.8634,6.311121692
Coco 4 ,7/20/16,2:17:45 AM,7.971375,28.905,33.8595,6.340896493
Coco 4 ,7/20/16,2:30:55 AM,7.96712,28.758,33.862,6.260156732
Coco 4 ,7/20/16,2:45:55 AM,7.96944,28.68,33.8742,6.206219592
Coco 4 ,7/20/16,3:00:55 AM,7.97008,28.69,33.8868,6.180174865
Coco 4 ,7/20/16,3:15:55 AM,7.9676,28.682,33.929,6.144679969
Coco 4 ,7/20/16,3:32:45 AM,7.970125,28.685,33.97425,6.127500236
Coco 4 ,7/20/16,3:47:45 AM,7.967525,28.74,33.95,6.120570524
Coco 4 ,7/20/16,4:00:55 AM,7.96704,28.764,33.9506,6.101419633
Coco 4 ,7/20/16,4:15:55 AM,7.95858,28.76,33.9698,6.004885024
Coco 4 ,7/20/16,4:32:45 AM,7.96235,28.77,33.977,5.977239363
Coco 4 ,7/20/16,4:45:55 AM,7.96846,28.78,34.0078,6.034193061
Coco 4 ,7/20/16,5:00:55 AM,7.97062,28.78,34.0372,6.044525583
Coco 4 ,7/20/16,5:15:55 AM,7.96628,28.806,33.9968,6.010943636
Coco 4 ,7/20/16,5:30:55 AM,7.96984,28.79,34.0202,6.028827024
Coco 4 ,7/20/16,5:45:55 AM,7.968,28.78,34.0222,6.025152104
Coco 4 ,7/20/16,6:00:55 AM,7.97108,28.76,34.0398,6.047251173
Coco 4 ,7/20/16,6:15:55 AM,7.96286,28.758,34.0384,5.961525065
Coco 4 ,7/20/16,6:30:55 AM,7.95874,28.72,34.003,5.86616432
Coco 4 ,7/20/16,6:45:55 AM,7.95804,28.72,34.0502,5.808290688
Coco 4 ,7/20/16,7:00:55 AM,7.96442,28.62,34.0096,5.852860651
Coco 4 ,7/20/16,7:15:55 AM,7.96166,28.604,34.0434,5.854463462
Coco 4 ,7/20/16,7:30:54 AM,7.9595,28.568,34.0414,5.795450081
Coco 4 ,7/20/16,7:45:55 AM,7.96034,28.494,34.0282,5.804887842
Coco 4 ,7/20/16,8:00:55 AM,7.94822,28.4,33.9646,5.623582033
Coco 4 ,7/20/16,8:15:54 AM,7.93884,28.37,33.9568,5.449284645
Coco 4 ,7/20/16,8:30:55 AM,7.93724,28.306,33.953,5.375672207
Coco 4 ,7/20/16,8:45:55 AM,7.94884,28.312,33.9904,5.498971869
Coco 4 ,7/20/16,9:00:55 AM,7.9563,28.468,33.993,5.669116614
