Parent,Destination,Origin,Timepoint,Species,AFDW,SA,BM,BWg.d,BWx,BWx.d,BWg.dSA,BWg.dAFDW,BWx.dSA,BWx.dAFDW,LE,NP,R,GP,GPSA,GPAFDW,NPSA,NPAFDW,RSA,RAFDW,P_RSA,P_RAFDW,F0,FM,Yield,PercentLipids,TotalLipids,PropLipids,Final.prey.SA,Extension,Angle,Simpson,PropSpawn,FitScore,Survival,FitScoreNoRepro
121,Inner Lagoon,Inner Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,993.1,645.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,Outer Lagoon,Inner Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346.9,968,636.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,Inner Lagoon,Inner Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345.5555556,1017.111111,659.4444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,Outer Lagoon,Inner Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408.7,1193.1,655.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,Inner Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425.7,1208,643.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,Outer Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518.3,1434.3,637.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,Inner Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373.9,1046.3,641.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,Outer Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467.7,1269.9,631.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,Inner Lagoon,Inner Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441.2,1162.3,616.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,Outer Lagoon,Inner Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403.2857143,1003.857143,589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,Inner Lagoon,Inner Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502.2,1315.4,608.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,Outer Lagoon,Inner Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523.6,1334.2,604.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,Inner Lagoon,Inner Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526.6,1343.5,609.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,Outer Lagoon,Inner Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450.5,1214,623.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,Inner Lagoon,Inner Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514,1365.7,619.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,Outer Lagoon,Inner Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483.4,1268.4,614.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
